Part List,,,,
Name,Cost,Use ,,
Structure,,,,* IMPORTANT NOTE 
PLA,$15.00,This is the plastic I used to 3d print a majority of this project,https://ca.store.bambulab.com/products/pla-basic-filament,I do not own any of these electronics they are my robotics team's parts and I am using them for my project 
TPU,$5.00,This is the glossy red plastic I used to 3d print my timing belts,http://amazon.ca/AmazonBasics-Printer-Filament-1-75mm-Spool/dp/B088962DCK/ref=sr_1_13?dib=eyJ2IjoiMSJ9.gpZIG1EVeJj1ecUlnCTwY5y8U_C0_ZW83inaufxPLGNN7DpKVWFDH48EQbK7ali1Dl6kl2GeC4agrVqpiNCt9-rSIBFBtkbJaY71yY0uEOoxwbcWtl-OjZ36usnBfIjB9SBrA79UNwHfU_NEL3fyfVc_7bGrW65nCnYcH7tcGr17T2lVOdQON6vrLgltjvGd6xrz5mUr8T8L45qrCgeqpgDThldaGqnxkqVIc4golXVIbjlEz5fVgvEjx7Kv3V7EubfBul36WbXC-HSmtsJh9SOgCj11vRilK0NbeRNYXig.NGcOWlyg1uAM9_6z4voY5rNLeBH-jd61hEc_RiF6or8&dib_tag=se&gad_source=1&hvadid=794049533743&hvdev=c&hvexpln=0&hvlocphy=1002199&hvnetw=g&hvocijid=8334831650161677485--&hvqmt=e&hvrand=8334831650161677485&hvtargid=kwd-642668625088&hydadcr=4744_13556206&keywords=amazon+tpu&mcid=ea1e0171cf3a3f1793810fd405c8df13&qid=1790025099&sr=8-13,
Wood,$10.00,The main structure of the robot is made of 4 12 by 20 inch plywood sheets that were lazer cut,https://www.homedepot.ca/product/alexandria-moulding-1-4-inch-x-24-inch-x-24-inch-g1s-plywood-handy-panel/1000434560,
Electronics,,,,
Control Hub,$525.00,This is the only legal control unit allowed in FTC and is used as the core proscesser and is what all wires plug into ,https://revrobotics.ca/rev-31-1595/,
Expansion Hub,$385.00,This is an eddition onto the FTC control hub that allows for four more motors to be connected ,https://revrobotics.ca/rev-31-1153/,
Limelight 3A,$270.00,This is used for piece detection and odometry (The math to find where you are on a feild during a match),https://limelightvision.io/products/limelight-3a,
7 Gobilda Motors,$525.00,The number is ajusted for their being 7 the base price is 75. These motors are used for every part of the robot,https://www.gobilda.com/5203-series-yellow-jacket-planetary-gear-motor-19-2-1-ratio-24mm-length-8mm-rex-shaft-312-rpm-3-3-5v-encoder/,
Studica Servo,$35.00,This is used to control the hood angle inorder to shoot from any angle ,https://www.studica.ca/en/multi-mode-smart-servo,
Battery ,$70.00,This is also the only battery you are allowed to use for FTC ,https://www.studica.ca/en/12v-3000mah-nimh-battery-pack-pp45-ares,
Misc,,,,
Mecanum Wheels,$200.00,Mecanum wheels allow for holonomic movement and are the most efficeint and fast way to make a drivetrain in FTC,https://www.studica.ca/en/jeu-de-roues-slim-mecanum-100-mm-roulements-a-rouleaux-2-a-gauche-2-a-droite,
Screws ,$22.00,I only used M4 screws for this project ,https://www.amazon.ca/380Pcs-Assortment-Button-Washers-Wrenches/dp/B0DJ8B2QFT?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=A3E0K5N9VZRBLC&th=1,
intake wheels ,$7.00,These are what both intake transfer balls and shoot them out ,https://andymark.com/products/compliant-wheels?variant=44493390676140,
Hex bearings,$65.00, these are sold in packs so the cost is for 20 studica bearings ,https://www.studica.ca/en/6mm-hex-shaft-flanged-bearing-12-pack,
total,"$2,134.00",,,
